name,iteration,process_time,peak_mem,realtime
main_filter_enum.inst,1,0.441807157,21065728,0.30000000000000004
main_filter_enum.inst,2,0.349345458,21266432,0.29000000000000004
main_filter_enum.inst,3,0.388580643,21127168,0.33
main_filter_enum.inst,4,0.36999266,21200896,0.31
main_filter_enum.inst,5,0.369500314,21278720,0.3
main_filter_enum.inst,6,0.351695775,21233664,0.31
main_filter_enum.inst,7,0.360858485,21250048,0.29
main_filter_enum.inst,8,0.351141592,20926464,0.3
main_filter_enum.inst,9,0.368589968,20922368,0.29000000000000004
main_filter_enum.inst,10,0.350645624,20856832,0.29
main_add_prefix_originator.inst,1,0.352013609,21217280,0.3
main_add_prefix_originator.inst,2,0.332834114,21090304,0.29000000000000004
main_add_prefix_originator.inst,3,0.368772217,21213184,0.31
main_add_prefix_originator.inst,4,0.369067925,20926464,0.31
main_add_prefix_originator.inst,5,0.332568519,20844544,0.28
main_add_prefix_originator.inst,6,0.391588719,21291008,0.32
main_add_prefix_originator.inst,7,0.350809547,22724608,0.29000000000000004
main_add_prefix_originator.inst,8,0.351453179,21327872,0.29000000000000004
main_add_prefix_originator.inst,9,0.333024203,22097920,0.28
main_add_prefix_originator.inst,10,0.333606647,21295104,0.28
main_monitoring.inst,1,0.107404265,15855616,0.06
main_monitoring.inst,2,0.107497065,15781888,0.06999999999999999
main_monitoring.inst,3,0.142559578,15605760,0.09
main_monitoring.inst,4,0.106719042,15765504,0.07
main_monitoring.inst,5,0.106741476,15859712,0.07
main_monitoring.inst,6,0.105961825,15556608,0.06
main_monitoring.inst,7,0.106660444,15687680,0.06
main_monitoring.inst,8,0.106026122,15523840,0.06
main_monitoring.inst,9,0.106770591,15814656,0.06999999999999999
main_monitoring.inst,10,0.106505495,15507456,0.06
main_encode_extended_communitites.inst,1,207.413106611,4589584384,121.51
main_encode_extended_communitites.inst,2,207.365195901,4590567424,120.02
main_encode_extended_communitites.inst,3,212.244337304,4585349120,121.7
main_encode_extended_communitites.inst,4,204.279278785,4593553408,118.38
main_encode_extended_communitites.inst,5,211.251221773,4583915520,121.67999999999999
main_encode_extended_communitites.inst,6,212.954084503,4590243840,122.1
main_encode_extended_communitites.inst,7,212.579409635,4581789696,121.91999999999999
main_encode_extended_communitites.inst,8,211.396379853,4586405888,121.16
main_encode_extended_communitites.inst,9,208.38125689,4585771008,119.94
main_encode_extended_communitites.inst,10,211.461909036,4589563904,121.49000000000001
main_filter_prefix_validator.inst,1,7.894243437,247021568,6.78
main_filter_prefix_validator.inst,2,8.530951586,246521856,7.17
main_filter_prefix_validator.inst,3,7.817129239,248741888,6.67
main_filter_prefix_validator.inst,4,7.404175808,249999360,6.39
main_filter_prefix_validator.inst,5,7.641640438,247140352,6.56
main_filter_prefix_validator.inst,6,7.975905081,247447552,6.8
main_filter_prefix_validator.inst,7,7.920135398,250675200,6.82
main_filter_prefix_validator.inst,8,8.659599876,248414208,7.4399999999999995
main_filter_prefix_validator.inst,9,9.443462835,247468032,7.9399999999999995
main_filter_prefix_validator.inst,10,8.92301441,246493184,7.49
